Model,EN-DE,BLEU EN-FR,Training EN-DE,Cost (FLOPs) EN-FR
ByteNet [18] 23.75,ByteNet [18] 23.75,ByteNet [18] 23.75,ByteNet [18] 23.75,ByteNet [18] 23.75
Deep-Att + PosUnk [39],,39.2,,1.0 - 102°
GNMT + RL [38],24.6,39.92,2.3-10'9,1.4-10?°
ConvS2S [9],25.16,40.46,96-1078,1.5. 107°
MoE [32],26.03,40.56,2.0-10!9,1.2- 107°
Deep-Att + PosUnk Ensemble [39],,40.4,,8.0 - 107°
GNMT + RL Ensemble [38],26.30,41.16,1.8-1079,1.1.10?!
ConvS2S Ensemble [9],26.36,41.29,7.7-10!9,1.2.10?!
Transformer (base model),27.3,38.1,3.3 -,1018
Transformer (big),28.4,41.8,2.3-,1019
