Unnamed: 0,N,Amodel,gg,h,"dy,","d,,",Parop,Els,train steps,| PPL (dev),BLEU (dev),params x 106
base,| 6,512.0,2048,8,64,64,0.1,0.1,100K |,4.92,25.8,65.0
(A),,,,1,512,512,,,,5.29,24.9,
(A),,,,4,128,128,,,,5.0,25.5,
(A),,,,16,32,32,,,,4.91,25.8,
(A),,,,32,=16,16,,,,5.01,25.4,
(B),,,,,16,,,,,5.16,25.1,58.0
(B),,,,,32,,,,,5.01,25.4,60.0
(C),2,,,,,,,,,6.11,23.7,36.0
(C),4,,,,,,,,,5.19,25.3,50.0
(C),8,,,,,,,,,4.88,25.5,80.0
(C),,256.0,,,32,832,,,,5.75,24.5,28.0
(C),,1024.0,,,128,128,,,,4.66,26.0,168.0
(C),,,1024,,,,,,,5.12,25.4,53.0
(C),,,4096,,,,,,,4.75,26.2,90.0
(D),,,,,,,0.0,,,5.77,24.6,
(D),,,,,,,0.2,,,4.95,25.5,
(D),,,,,,,,0.0,,4.67,253.0,
(D),,,,,,,,0.2,,5.47,25.7,
(E),,,positional,embedding,,instead of,sinusoids,,,4.92,25.7,
big,| 6,1024.0,4096,16,,,0.3,,300K |,4.33,26.4,213.0
